week	period	section	category	reg_hrs	reg_pay	ot_pay	total_pay	pct_sales	pct_food_sales
2.15.26	last_year	exec	BOH Salary	0	11395	0	11395	5.97	11.75
2.15.26	last_year	exec	OTHER	0	1548	0	1548	0.81	
2.15.26	last_year	exec	SUBTOTAL	1940	41685	142	41827	21.91	24.32
2.15.26	last_year	exec	PAYROLL TAX		8337	28	8365	4.38	
2.15.26	last_year	exec	TOTAL LABOR		50023	170	50193	26.30	
2.15.26	report_week	exec	BOH	550	8690	0	8690	6.14	12.45
2.15.26	report_week	exec	FOH	971	6659	77	6736	4.76	
2.15.26	report_week	exec	Training	142	1561	0	1561	1.10	
2.15.26	report_week	exec	FOH Salary	0	6688	0	6688	4.72	
2.15.26	report_week	exec	BOH Salary	0	9248	0	9248	6.53	13.25
2.15.26	report_week	exec	OTHER	0	0	0	0	0.00	
2.15.26	report_week	exec	SUBTOTAL	1663	32845	77	32922	23.25	25.71
2.15.26	report_week	exec	PAYROLL TAX		6569	15	6584	4.65	
2.15.26	report_week	exec	TOTAL LABOR		39414	92	39507	27.90	
2.15.26	last_year	boh	Cook	389	6980	0	6980	3.66	7.20
2.15.26	last_year	boh	Prep	160	3037	64	3102	1.63	3.20
2.15.26	last_year	boh	Dish	153	2104	0	2104	1.10	2.17
2.15.26	last_year	boh	Salary	0	11395	0	11395	5.97	11.75
2.15.26	last_year	boh	BOH TOTAL	702	23516	65	23581	12.35	24.32
2.15.26	report_week	boh	Cook	350	5579	677	6256	4.42	8.97
2.15.26	report_week	boh	Prep	120	2351	19	2370	1.67	3.40
2.15.26	report_week	boh	Dish	80	760	56	816	0.58	1.17
2.15.26	report_week	boh	Salary		9248		9248	6.53	13.25
2.15.26	report_week	boh	BOH TOTAL	550	17938	753	18691	13.20	26.79
2.15.26	last_year	foh	Security	32	686	0	686	0.36	
2.15.26	last_year	foh	Bar Back	140	826	39	865	0.45	
2.15.26	last_year	foh	Bartender	143	763	0	763	0.40	
2.15.26	last_year	foh	Crepe	0	0	0	0	0.00	
2.15.26	last_year	foh	Cafe	205	1232	0	1232	0.65	
2.15.26	last_year	foh	Hostess	148	888	10	898	0.47	
2.15.26	last_year	foh	Runner	27	146	0	146	0.08	
2.15.26	last_year	foh	Server	475	2541	28	2570	1.35	
2.15.26	last_year	foh	Training	53	565	0	565	0.30	
2.15.26	last_year	foh	Maintenance	15	265	0	265	0.14	
2.15.26	last_year	foh	COPS	0	1548		1548	0.00	
2.15.26	last_year	foh	FOH TOTAL	1238	9459	77	9536	5.00	
2.15.26	report_week	foh	Security	0	400		400	0.28	
2.15.26	report_week	foh	Bar Back	171	1107	67	1174	0.83	
2.15.26	report_week	foh	Bartender	183	1005	110	1115	0.79	
2.15.26	report_week	foh	Crepe	0	0	0	0	0.00	
2.15.26	report_week	foh	Cafe	136	818	0	818	0.58	
2.15.26	report_week	foh	Hostess	125	1339	0	1339	0.95	
2.15.26	report_week	foh	Runner	23	129	0	129	0.09	
2.15.26	report_week	foh	Server	331	1820	101	1921	1.36	
2.15.26	report_week	foh	Training	142	1561	0	1561	1.10	
2.15.26	report_week	foh	Maintenance	2	40	0	40	0.03	
2.15.26	report_week	foh	COPS	0	0	0	0	0.00	
2.15.26	report_week	foh	FOH TOTAL	1113	8219	277	8497	6.00	
2.15.26	last_year	mgmt	Bonuses	0	0	0	0	0.00	
2.15.26	last_year	mgmt	Comp	0	2400	0	2400	1.26	
2.15.26	last_year	mgmt	Salary	0	6310		6310	3.31	
2.15.26	last_year	mgmt	MGMT TOTAL	0	8710	0	8710	4.56	
2.15.26	report_week	mgmt	Bonuses	0	0	0	0	0.00	
2.15.26	report_week	mgmt	Comp		800	0	800	0.56	
2.15.26	report_week	mgmt	Salary	0	5888		5888	4.16	
2.15.26	report_week	mgmt	MGMT TOTAL	0	6688	0	6688	4.72	
2.22.26	last_year	exec	BOH	675	11274	0	11274	5.13	10.70
2.22.26	last_year	exec	FOH	1277	7705	33	7738	3.52	
2.22.26	last_year	exec	Training	58	618	0	618	0.28	
2.22.26	last_year	exec	FOH Salary	0	6064	0	6064	2.76	
2.22.26	last_year	exec	BOH Salary	0	11395	0	11395	5.18	10.81
2.22.26	last_year	exec	OTHER	0	1548	0	1548	0.70	
2.22.26	last_year	exec	SUBTOTAL	2009	38604	33	38637	17.58	21.51
2.22.26	last_year	exec	PAYROLL TAX		7721	7	7727	3.52	
2.22.26	last_year	exec	TOTAL LABOR		46325	40	46364	21.09	
2.22.26	report_week	exec	BOH	543	8603	0	8603	5.70	11.34
2.22.26	report_week	exec	FOH	ERR	6505	77	6582	4.36	
2.22.26	report_week	exec	Training	ERR	1462	0	1462	0.97	
2.22.26	report_week	exec	FOH Salary	0	6088	0	6088	4.03	
2.22.26	report_week	exec	BOH Salary	0	9798	0	9798	6.49	12.91
2.22.26	report_week	exec	OTHER	0	0	0	0	0.00	
2.22.26	report_week	exec	SUBTOTAL	ERR	32456	77	32533	21.55	24.25
2.22.26	report_week	exec	PAYROLL TAX		6491	15	6507	4.31	
2.22.26	report_week	exec	TOTAL LABOR		38947	92	39040	25.85	
2.22.26	last_year	boh	Cook	378	6481	0	6481	2.95	6.15
2.22.26	last_year	boh	Prep	180	3379	0	3379	1.54	3.21
2.22.26	last_year	boh	Dish	117	1414	0	1414	0.64	1.34
2.22.26	last_year	boh	Salary	0	11395	0	11395	5.18	10.81
2.22.26	last_year	boh	BOH TOTAL	675	22668	0	22668	10.31	21.51
2.22.26	report_week	boh	Cook	360	5828	0	5828	3.86	7.68
2.22.26	report_week	boh	Prep	112	2190	0	2190	1.45	2.89
2.22.26	report_week	boh	Dish	71	586	0	586	0.39	0.77
2.22.26	report_week	boh	Salary		9798		9798	6.49	12.91
2.22.26	report_week	boh	BOH TOTAL	543	18401	0	18401	12.19	24.25
2.22.26	last_year	foh	Security	26	548	0	548	0.25	
2.22.26	last_year	foh	Bar Back	175	1092	0	1092	0.50	
2.22.26	last_year	foh	Bartender	160	782	33	815	0.37	
2.22.26	last_year	foh	Crepe	0	0	0	0	0.00	
2.22.26	last_year	foh	Cafe	190	1138	0	1138	0.52	
2.22.26	last_year	foh	Hostess	146	873	0	873	0.40	
2.22.26	last_year	foh	Runner	58	313	0	313	0.14	
2.22.26	last_year	foh	Server	510	2727	0	2727	1.24	
2.22.26	last_year	foh	Training	58	618	0	618	0.28	
2.22.26	last_year	foh	Maintenance	13	233	0	233	0.11	
2.22.26	last_year	foh	COPS	0	1548		1548	0.00	
2.22.26	last_year	foh	FOH TOTAL	1334	9872	33	9905	4.51	
2.22.26	report_week	foh	Security	10	200		200	0.13	
2.22.26	report_week	foh	Bar Back	175	1132	0	1132	0.75	
2.22.26	report_week	foh	Bartender	164	903	92	995	0.66	
2.22.26	report_week	foh	Crepe	0	0	0	0	0.00	
2.22.26	report_week	foh	Cafe	150	903	0	903	0.60	
2.22.26	report_week	foh	Hostess	128	1205	0	1205	0.80	
2.22.26	report_week	foh	Runner	7	41	0	41	0.03	
2.22.26	report_week	foh	Server	352	1938	169	2107	1.40	
2.22.26	report_week	foh	Training	ERR	1462	0	1462	0.97	
2.22.26	report_week	foh	Maintenance	11	183	0	183	0.12	
2.22.26	report_week	foh	COPS	0	0	0	0	0.00	
2.22.26	report_week	foh	FOH TOTAL	999	7967	261	8228	5.45	
2.22.26	last_year	mgmt	Bonuses	0	0	0	0	0.00	
2.22.26	last_year	mgmt	Comp	0	954	0	954	0.43	
2.22.26	last_year	mgmt	Salary	0	5110		5110	2.32	
2.22.26	last_year	mgmt	MGMT TOTAL	0	6064	0	6064	2.76	
2.22.26	report_week	mgmt	Bonuses	0	0	0	0	0.00	
2.22.26	report_week	mgmt	Comp		200	0	200	0.13	
2.22.26	report_week	mgmt	Salary	0	5888		5888	3.90	
2.22.26	report_week	mgmt	MGMT TOTAL	0	6088	0	6088	4.03	
3.1.26	last_year	exec	BOH	730	11806	200	12005	4.89	11.39
3.1.26	last_year	exec	FOH	1485	9424	264	9688	3.94	
3.1.26	last_year	exec	Training	65	700	0	700	0.28	
3.1.26	last_year	exec	FOH Salary	0	6179	0	6179	2.51	
3.1.26	last_year	exec	BOH Salary	0	12050	0	12050	4.90	11.43
3.1.26	last_year	exec	OTHER	0	1548	0	1548	0.63	
3.1.26	last_year	exec	SUBTOTAL	2280	41706	464	42170	17.16	22.83
3.1.26	last_year	exec	PAYROLL TAX		8341	93	8434	3.43	
3.1.26	last_year	exec	TOTAL LABOR		50047	557	50604	20.60	
3.1.26	report_week	exec	BOH	576	9162	0	9162	5.48	12.08
3.1.26	report_week	exec	FOH	1132	7368	77	7445	4.45	
3.1.26	report_week	exec	Training	57	630	0	630	0.38	
3.1.26	report_week	exec	FOH Salary	0	6939	0	6939	4.15	
3.1.26	report_week	exec	BOH Salary	0	10248	0	10248	6.12	13.51
3.1.26	report_week	exec	OTHER	0	0	0	0	0.00	
3.1.26	report_week	exec	SUBTOTAL	1766	34347	77	34424	20.57	25.58
3.1.26	report_week	exec	PAYROLL TAX		6869	15	6885	4.11	
3.1.26	report_week	exec	TOTAL LABOR		41217	92	41309	24.69	
3.1.26	last_year	boh	Cook	420	6786	0	6786	2.76	6.44
3.1.26	last_year	boh	Prep	194	3614	200	3814	1.55	3.62
3.1.26	last_year	boh	Dish	116	1405	0	1405	0.57	1.33
3.1.26	last_year	boh	Salary	0	12050	0	12050	4.90	11.43
3.1.26	last_year	boh	BOH TOTAL	730	23855	200	24055	9.79	22.83
3.1.26	report_week	boh	Cook	362	5867	0	5867	3.51	7.73
3.1.26	report_week	boh	Prep	103	2004	42	2046	1.22	2.70
3.1.26	report_week	boh	Dish	111	1291	169	1460	0.87	1.92
3.1.26	report_week	boh	Salary	0	10248	0	10248	6.12	13.51
3.1.26	report_week	boh	BOH TOTAL	576	19410	210	19621	11.73	25.86
3.1.26	last_year	foh	Security	39	815	0	815	0.33	
3.1.26	last_year	foh	Bar Back	201	1233	52	1285	0.52	
3.1.26	last_year	foh	Bartender	140	716	0	716	0.29	
3.1.26	last_year	foh	Crepe	0	0	0	0	0.00	
3.1.26	last_year	foh	Cafe	219	1314	115	1429	0.58	
3.1.26	last_year	foh	Hostess	177	1314	0	1314	0.53	
3.1.26	last_year	foh	Runner	68	365	72	437	0.18	
3.1.26	last_year	foh	Server	622	3326	26	3352	1.36	
3.1.26	last_year	foh	Training	65	700	0	700	0.28	
3.1.26	last_year	foh	Maintenance	19	340	0	340	0.14	
3.1.26	last_year	foh	COPS	0	1548		1548	0.00	
3.1.26	last_year	foh	FOH TOTAL	1550	11672	264	11936	4.86	
3.1.26	report_week	foh	Security	26	548	0	548	0.33	
3.1.26	report_week	foh	Bar Back	162	891	60	951	0.57	
3.1.26	report_week	foh	Bartender	197	1083	0	1083	0.65	
3.1.26	report_week	foh	Crepe	0	0	0	0	0.00	
3.1.26	report_week	foh	Cafe	190	1141	0	1141	0.68	
3.1.26	report_week	foh	Hostess	136	1305	0	1305	0.78	
3.1.26	report_week	foh	Runner	7	38	0	38	0.02	
3.1.26	report_week	foh	Server	406	2234	0	2234	1.34	
3.1.26	report_week	foh	Training	57	630	0	630	0.38	
3.1.26	report_week	foh	Maintenance	8	127	0	127	0.08	
3.1.26	report_week	foh	COPS	0	0		0	0.00	
3.1.26	report_week	foh	FOH TOTAL	1189	7998	60	8058	4.82	
3.1.26	last_year	mgmt	Bonuses	0	0	0	0	0.00	
3.1.26	last_year	mgmt	Comp	0	1069	0	1069	0.44	
3.1.26	last_year	mgmt	Salary	0	5110		5110	2.08	
3.1.26	last_year	mgmt	MGMT TOTAL	0	6179	0	6179	2.51	
3.1.26	report_week	mgmt	Bonuses	0	0	0	0	0.00	
3.1.26	report_week	mgmt	Comp		800	0	800	0.48	
3.1.26	report_week	mgmt	Salary	0	6139		6139	3.67	
3.1.26	report_week	mgmt	MGMT TOTAL	0	6939	0	6939	4.15	
3.8.26	last_year	exec	BOH	691	11656	0	11656	7.29	12.60
3.8.26	last_year	exec	FOH	1137	7188	1	7189	4.50	
3.8.26	last_year	exec	Training	63	673	0	673	0.42	
3.8.26	last_year	exec	FOH Salary	0	6179	0	6179	3.86	
3.8.26	last_year	exec	BOH Salary	0	12050	0	12050	7.53	13.03
3.8.26	last_year	exec	OTHER	0	1548	0	1548	0.97	
3.8.26	last_year	exec	SUBTOTAL	1891	39294	1	39295	24.57	25.63
3.8.26	last_year	exec	PAYROLL TAX		7859	0	7859	4.91	
3.8.26	last_year	exec	TOTAL LABOR		47153	1	47154	29.49	
3.8.26	report_week	exec	BOH	569	9009	0	9009	4.44	9.71
3.8.26	report_week	exec	FOH	1298	8298	77	8375	4.12	
3.8.26	report_week	exec	Training	94	1032	0	1032	0.51	
3.8.26	report_week	exec	FOH Salary	0	7027	0	7027	3.46	
3.8.26	report_week	exec	BOH Salary	0	10248	0	10248	5.05	11.05
3.8.26	report_week	exec	OTHER	0	0	0	0	0.00	
3.8.26	report_week	exec	SUBTOTAL	1961	35614	77	35691	17.57	20.76
