week,period,category,reg_hrs,reg_pay,ot_pay,total_pay,pct_sales,pct_food_sales
8.2.26,last_year,Dish,177,1839,224,2063,1.31,2.37
8.2.26,last_year,Salary,0,11272,0,11272,7.13,12.94
8.2.26,last_year,BOH TOTAL,769,21244,1462,22706,14.36,26.08
8.2.26,report_week,Cook,437,7190,244,7434,6.32,11.31
8.2.26,report_week,Prep,80,1555,0,1555,1.32,2.37
8.2.26,report_week,Expo,80,1758,0,1758,1.49,2.68
8.2.26,report_week,Dish,75,1345,0,1345,1.14,2.05
8.2.26,report_week,Salary,0,11272,0,11272,9.58,17.15
8.2.26,report_week,BOH TOTAL,672,23120,244,23364,19.86,35.55
8.9.26,last_year,Cook,464,6504,0,6504,3.70,6.94
8.9.26,last_year,Prep,79,1626,0,1626,0.93,1.74
8.9.26,last_year,Expo,0,0,0,0,0.00,0.00
8.9.26,last_year,Dish,193,2185,0,2185,1.24,2.33
8.9.26,last_year,Salary,0,12383,0,12383,7.05,13.22
8.9.26,last_year,BOH TOTAL,736,22698,0,22698,12.92,24.23
8.9.26,report_week,Cook,413,7445,50,7495,4.81,9.55
8.9.26,report_week,Prep,40,800,0,800,0.51,1.02
8.9.26,report_week,Expo,80,1757,0,1757,1.13,2.24
8.9.26,report_week,Dish,133,1440,53,1493,0.96,1.90
8.9.26,report_week,Salary,0,12383,0,12383,7.95,15.78
8.9.26,report_week,BOH TOTAL,666,23825,103,23928,15.37,30.50
8.16.26,last_year,Cook,464,6525,5,480,0.25,0.51
8.16.26,last_year,Prep,81,1636,23,1659,0.88,1.76
8.16.26,last_year,Expo,0,0,0,0,0.00,0.00
8.16.26,last_year,Dish,182,2060,0,2060,1.09,2.18
8.16.26,last_year,Salary,0,12383,0,12383,6.57,13.12
8.16.26,last_year,BOH TOTAL,727,22604,28,16582,8.80,17.57
8.16.26,report_week,Cook,424,7417,331,7748,5.98,10.32
8.16.26,report_week,Prep,67,1306,0,1306,1.01,1.74
8.16.26,report_week,Expo,80,1758,0,1758,1.36,2.34
8.16.26,report_week,Dish,80,1436,53,1489,1.15,1.98
8.16.26,report_week,Salary,0,8518,0,8518,6.57,11.35
8.16.26,report_week,BOH TOTAL,651,20435,384,20819,16.06,27.73
